Product;Description;Depot PF OUED SMAR Bisma;RDC ALGER;RDC ANNABA;RDC EULMA;RDC ORAN;USINE DE FABRICATION
;;105 / Stock;401 / Stock;404 / Stock;402 / Stock;403 / Stock;21 / Stock
TAC-18CHSA/XA73I-INDOOR;Climatiseur  18000 BTU INVERTER Tropical (Mega-Tropicalisé)-INDOOR;0;549.0;127.0;711.0;97.0;865.0
TAC-18CHSA/XA73I-OUTDOOR;Climatiseur  18000 BTU INVERTER Tropical (Mega-Tropicalisé)-OUTDOOR;0;549.0;117.0;774.0;97.0;868.0
TAC-18CHSA/XA81;Climatiseur  18000 BTU INVERTER;0;0;0;0;0;0
TAC-18CHSA/XA81-INDOOR;Climatiseur  18000 BTU INVERTER-INDOOR;0;0;0;0;1.0;0
TAC-18CHSA/XA81-OUTDOOR;Climatiseur  18000 BTU INVERTER-OUTDOOR;0;0;0;0;1.0;0
TAC-18CHSA/XAA1;Climatiseur  18000 BTU ON/OFF;0;0;0;0;0;0
TAC-18CHSA/XAA1-INDOOR;Climatiseur  18000 BTU ON/OFF-INDOOR;0;119.0;50.0;1166.0;49.0;0
TAC-18CHSA/XAA1-OUTDOOR;Climatiseur  18000 BTU ON/OFF-OUTDOOR;0;119.0;50.0;1124.0;49.0;0
TAC-18CHSA/XAA1T;Climatiseur  18000 on/off T3 TROPICAL;0;0;0;0;0;0
TAC-18CHSA/XAA1T-INDOOR;Climatiseur  18000 on/off T3 TROPICAL-INDOOR;0;26.0;7.0;4.0;44.0;0
TAC-18CHSA/XAA1T-OUTDOOR;Climatiseur  18000 on/off T3 TROPICAL-OUTDOOR;0;26.0;7.0;13.0;44.0;0
TAC-24CHSA/XA73I;Climatiseur  24000 BTU INVERTER Tropical (Mega-Tropicalisé);0;0;0;0;0;0
TAC-24CHSA/XA73I-INDOOR;Climatiseur  24000 BTU INVERTER Tropical (Mega-Tropicalisé)-INDOOR;0;137.0;10.0;162.0;13.0;32.0
TAC-24CHSA/XA73I-OUTDOOR;Climatiseur  24000 BTU INVERTER Tropical (Mega-Tropicalisé)-OUTDOOR;0;137.0;10.0;162.0;13.0;26.0
TAC-24CHSA/XA81;Climatiseur  24000 BTU INVERTER;0;0;0;0;0;0
TAC-24CHSA/XA81-INDOOR;Climatiseur  24000 BTU INVERTER-INDOOR;0;3.0;0;37.0;1.0;0
TAC-24CHSA/XA81-OUTDOOR;Climatiseur  24000 BTU INVERTER-OUTDOOR;0;3.0;0;37.0;1.0;0
TAC-24CHSA/XAA1;Climatiseur  24000 BTU ON/OFF;0;0;0;0;0;0
TAC-24CHSA/XAA1-INDOOR;Climatiseur  24000 BTU ON/OFF-INDOOR;0;0;0;0;0;0
TAC-24CHSA/XAA1-OUTDOOR;Climatiseur  24000 BTU ON/OFF-OUTDOOR;0;0;0;0;0;0
TAC-24CHSA/XAA1T;Climatiseur  24000 on/off T3 TROPICAL;0;0;0;0;0;0
