Désignation;Référence;code article;UM;Stock initial;Réceptions;Production;Stock Final;SHORTAGE
EMBALLAGETV;Etiquette AC Box Unité Interiure/24K XAF1T;ET08-000035;PCS; - ; - ; - ; - ;  -  
EMBALLAGETV;Etiquette AC Box Unité Interiure/12K XA73I;ET08-000017;PCS; - ; - ; - ; - ;  -  
EMBALLAGETV;Etiquette AC Fiche Energetique/12K XA73I;ET08-000026;PCS; - ; - ; - ; - ;  -  
EMBALLAGETV;Etiquette AC Fiche Energetique/18K XAF1T;ET08-000032;PCS; - ; - ; - ; - ;  -  
EMBALLAGETV;CARD-WARRANTY;6801-002202;PCS; 2 134 ; - ; 1 800 ; 334 ;  -  
EMBALLAGETV;tape packing;LT-0009;PCS; 38 000 ; - ; - ; 38 000 ;  -  
EMBALLAGETV;Etiquette AC Tropicalsé;ET08-000015;PCS; - ; - ; - ; - ;  -  
EMBALLAGETV;Etiquette AC Box Unité Interiure/9K XA73I;ET08-000016;PCS; - ; - ; - ; - ;  -  
EMBALLAGETV;Etiquette AC Box Unité Interiure/12K TPH11;ET08-000020;PCS; - ; - ; - ; - ;  -  
EMBALLAGETV;Etiquette AC Box Unité Interiure/12K XAF1T;ET08-000022;PCS; - ; - ; - ; - ;  -  
EMBALLAGETV;Etiquette AC Fiche Energetique/24K XA73I;ET08-000028;PCS; - ; - ; - ; - ;  -  
EMBALLAGETV;Etiquette AC Fiche Energetique/24K XAF1T;ET08-000033;PCS; - ; - ; - ; - ;  -  
GAS;R600;C4H10,4N,R-600a,68L_30kg;BOUTTEILLE; 8 ; - ; - ; 8 ;  -  
GAS;R410;AC-GAZR410A;BOUTTEILLE; 14 800 ; - ; - ; 14 800 ;  -  
GAS;ACYTELENE;;BOUTTEILLE; - ; - ; - ; - ;  -  
GAS;OXYGENE;;BOUTTEILLE; - ; - ; - ; - ;  -  
GAS;GAZ Freon R32A;GAZ R32A;BOUTTEILLE; 1 480 ; - ; - ; 1 480 ;  -  
GAS;AZOTE;;BOUTTEILLE; - ; - ; - ; - ;  -  
WM;P612FLG;;PCS; 1 224 ; - ; 1 196 ; 28 ;  -  
